genre,bsc,exp,test,msc,status
1,3.55,0,95.0,3.347,1
1,3.9,0,95.5,3.4265,1
1,3.586,0,86.0,2.9875,1
1,3.5100000000000002,0,84.27,3.3600000000000003,1
2,3.875,0,74.0,3.35,0
2,3.5965000000000003,0,61.0,3.2135,1
1,3.25,1,69.0,2.8825,1
1,3.225,0,86.04,2.971,1
2,3.3,0,75.0,3.3994999999999997,0
2,3.45,1,67.0,3.1175,1
1,3.35,1,86.0,3.5100000000000002,1
1,3.7,0,82.0,3.022,0
1,3.4,1,84.0,3.3345,1
1,3.5,1,55.0,3.1,1
2,3.8600000000000003,1,78.74,3.809,1
1,3.2,0,67.0,2.8515,1
1,3.0,0,75.0,2.9539999999999997,0
2,3.65,0,58.0,3.218,1
2,3.45,1,62.0,3.118,1
2,4.1,0,92.0,3.4015,1
1,2.54,0,67.0,3.1395,0
2,3.3,0,72.0,2.9735,1
1,2.7,0,72.0,2.7704999999999997,0
1,3.2,0,53.88,2.7485,1
1,3.25,1,95.46,3.1079999999999997,1
2,3.8,1,66.0,3.222,1
2,3.05,0,93.91,3.4515000000000002,0
2,3.25,0,70.0,2.8655,1
1,3.15,0,50.0,2.9735,0
2,2.9,1,56.39,3.2475,0
1,3.4,0,78.0,3.022,1
2,3.4,1,57.5,3.0655,1
1,3.65,1,85.0,3.2915,1
1,3.25,1,55.0,2.9114999999999998,1
1,2.9,0,85.0,2.7649999999999997,0
1,2.7,0,71.0,3.2845,0
1,4.15,0,80.0,3.6759999999999997,1
1,3.45,0,84.0,2.9155,1
1,3.25,1,86.0,2.8045,0
2,3.6,0,57.2,2.7399999999999998,1
1,3.05,0,60.0,3.032,0
1,3.05,0,58.0,2.697,1
2,3.35,0,72.15,3.154,1
1,3.45,0,53.7,2.7504999999999997,1
2,3.3,0,89.0,3.025,1
1,3.3299999999999996,1,96.0,3.5424999999999995,1
1,3.65,0,80.0,3.3525,1
1,3.9,1,97.0,3.524,1
1,3.2299999999999995,1,82.66,3.217,1
1,2.95,0,73.0,2.9405,0
2,3.4799999999999995,1,55.67,3.5744999999999996,1
2,3.465,1,80.4,3.55,1
1,3.65,1,60.0,2.835,1
1,3.2165,1,64.0,3.0629999999999997,1
2,3.65,0,75.0,3.6665,1
2,3.775,1,70.0,3.41,1
2,3.45,0,55.5,2.92,1
1,3.886,1,81.2,3.813,1
1,3.3,1,90.0,3.4274999999999998,1
1,3.0,0,84.0,3.2075000000000005,0
2,3.1,1,80.0,3.039,1
1,3.2,1,74.4,2.6745,1
1,3.85,1,65.0,3.049,1
2,3.6,1,94.0,3.3564999999999996,1
2,3.45,0,55.6,3.2815,1
2,3.2,0,78.0,3.0789999999999997,0
1,3.6,0,56.0,3.0204999999999997,1
2,3.65,1,96.0,3.5885,1
1,2.95,1,58.0,2.7215,1
1,3.475,1,56.0,2.847,1
1,3.0,0,60.0,3.0949999999999998,0
1,3.6715000000000004,1,60.0,3.0645,1
1,3.5335,0,89.0,3.0195,1
1,3.05,0,60.0,2.926,0
1,3.5625,0,72.0,3.1614999999999998,1
1,3.3,0,85.0,2.757,1
1,3.25,0,83.0,3.114,1
2,2.8,0,57.0,3.2039999999999997,1
1,2.75,1,64.25,2.927,0
1,2.9,1,56.0,3.065,1
1,3.75,0,83.0,2.9435,1
2,4.2,0,98.0,3.2625,1
1,3.25,1,86.0,3.1239999999999997,1
1,3.0,1,70.0,2.66,1
1,2.995,1,56.15,3.2994999999999997,0
1,3.25,1,80.0,2.636,1
1,3.045,0,93.4,2.7515,1
1,3.2,0,60.0,3.0934999999999997,0
1,2.9,0,62.0,3.0295,0
1,3.25,1,75.0,3.6145000000000005,1
1,2.875,0,57.63,3.136,0
1,3.8625,1,75.2,3.303,1
1,3.2,0,75.0,3.3229999999999995,1
2,3.1675,0,53.04,3.276,1
2,3.7,0,80.0,3.728,0
1,3.0,1,63.0,2.619,1
1,3.35,1,58.1,3.7855,0
2,2.9,1,60.0,2.9395,0
1,3.0629999999999997,0,54.48,3.274,0
2,3.0,0,58.06,3.464,0
1,3.6,1,63.79,3.3020000000000005,1
1,2.8,0,84.0,2.632,1
2,2.75,0,67.0,2.966,0
1,3.2135,1,64.0,3.3115,1
1,3.25,0,87.5,3.0345,0
2,2.8,0,55.0,2.895,1
2,3.95,1,89.0,3.5405,1
1,3.4,0,73.0,3.4034999999999997,1
2,3.21,0,75.5,3.607,0
1,3.1399999999999997,1,57.0,2.83,1
1,3.2104999999999997,0,63.0,3.0010000000000003,0
1,2.85,1,75.0,2.9905,0
1,3.45,0,60.0,3.091,1
2,2.9895,0,60.0,2.8645,0
2,3.9,0,82.0,3.5715000000000003,1
2,3.05,0,55.0,3.1465,0
1,3.35,1,95.0,3.243,1
1,2.7190000000000003,0,57.0,2.8065,0
2,3.46,0,95.65,3.347,0
2,3.05,0,50.0,3.125,0
1,3.6,0,72.0,3.0505,1
1,3.2399999999999998,1,93.4,2.867,1
2,2.8,1,80.0,2.8315,1
1,2.815,0,59.0,3.2369999999999997,0
1,3.6,1,84.0,2.9475000000000002,1
1,3.875,1,78.0,2.7239999999999998,1
2,4.55,0,59.32,3.4854999999999996,1
2,3.25,0,88.0,3.598,0
1,2.85,0,73.0,2.79,1
1,3.25,0,87.55,2.6405000000000003,1
1,2.9,0,79.0,2.9219999999999997,0
1,3.3,0,61.28,3.0055,1
1,2.8434999999999997,0,66.0,2.915,1
2,3.65,1,80.0,3.3845,1
1,3.25,0,62.0,2.8405,1
1,3.0,0,97.0,2.6695,0
1,3.05,1,88.56,3.5774999999999997,1
2,3.25,0,92.66,3.146,0
1,3.25,0,67.0,2.8245,1
1,3.88,0,91.0,3.7245,1
1,3.6,0,74.0,2.681,1
1,3.65,1,59.0,3.4859999999999998,1
2,2.9,0,70.0,3.0115,1
1,2.65,0,89.0,3.011,0
